i: 0, k: 926, m: 1
Successful: CL/CD=27.9372, R=0.061896085273474455
Successful: CL/CD=25.3057, R=0.052039321046322584
Successful: CL/CD=33.0005, R=0.04816942336037755
Successful: CL/CD=16.9798, R=0.062320603523403406
Successful: CL/CD=33.8045, R=0.04432762321084738
Successful: CL/CD=26.2658, R=0.049551660660654306
Successful: CL/CD=26.7258, R=0.05858168704435229
Successful: CL/CD=16.9962, R=0.07215645723044872
Successful: CL/CD=25.4602, R=0.05229542497545481
Successful: CL/CD=20.8299, R=0.05545087205246091
Successful: CL/CD=34.9978, R=0.04333601798862219
Successful: CL/CD=22.3102, R=0.05682024173438549
Successful: CL/CD=33.4299, R=0.052124458365142345
Successful: CL/CD=17.5493, R=0.07428757986053824
Successful: CL/CD=24.2722, R=0.05490357521921396
Successful: CL/CD=35.1392, R=0.05415229871869087
Successful: CL/CD=32.6350, R=0.04965448984876275
Successful: CL/CD=29.0287, R=0.05776502937078476
Successful: CL/CD=33.6104, R=0.04439572710543871
Successful: CL/CD=33.5063, R=0.050016473047435284
True 0.0034505852963775396
0.005171564873307943
Successful: CL/CD=25.8999, R=0.06928884238004684
Successful: CL/CD=32.4465, R=0.044974605552852154
Successful: CL/CD=33.3854, R=0.04667234793305397
Successful: CL/CD=35.4378, R=0.04408286325633526
Successful: CL/CD=36.5513, R=0.04471385898068547
Successful: CL/CD=32.9836, R=0.06856669578701258
Successful: CL/CD=21.6325, R=0.05493063014000654
Successful: CL/CD=18.8580, R=0.05851181084290147
Successful: CL/CD=24.1482, R=0.07839365117251873
Successful: CL/CD=27.8782, R=0.04790054867044091
Successful: CL/CD=31.7878, R=0.04895274294540286
Successful: CL/CD=31.8920, R=0.04944533808156848
Successful: CL/CD=35.8576, R=0.04272435512393713
Successful: CL/CD=3.2500, R=0.22549980832263827
Successful: CL/CD=15.7960, R=0.0693003754131496
Successful: CL/CD=25.6030, R=nan
Successful: CL/CD=36.9249, R=0.046180402394384146
Successful: CL/CD=25.6479, R=0.0587040651589632
Successful: CL/CD=23.5959, R=0.052911012433469296
Successful: CL/CD=37.0048, R=0.04789999360218644
Successful: CL/CD=23.0217, R=0.05318136839196086
Successful: CL/CD=38.1036, R=0.04403653368353844
Successful: CL/CD=24.9140, R=0.052650471683591604
Successful: CL/CD=19.1059, R=0.06090395012870431
Successful: CL/CD=26.3508, R=0.050774546805769205
Successful: CL/CD=23.1647, R=0.0526321716606617
Successful: CL/CD=34.1102, R=0.04425709927454591
Successful: CL/CD=30.9014, R=0.05082421703264117
Successful: CL/CD=30.7287, R=0.04650169098749757
Successful: CL/CD=35.0211, R=0.04810076579451561
Successful: CL/CD=27.9055, R=0.05158295854926109
Successful: CL/CD=25.9727, R=0.04890624945983291
Successful: CL/CD=37.2286, R=0.04131028428673744
Successful: CL/CD=28.7514, R=0.05792989581823349
Successful: CL/CD=36.3274, R=0.045397454872727394
Successful: CL/CD=30.9114, R=0.05540281580761075
Successful: CL/CD=37.8373, R=0.043871806003153324
Successful: CL/CD=25.8792, R=0.055110455956310034
Successful: CL/CD=17.2117, R=0.07811409700661898
Successful: CL/CD=36.6750, R=0.04406731901690364
Successful: CL/CD=33.1090, R=0.04868821753188968
Successful: CL/CD=39.5542, R=0.04057050123810768
Successful: CL/CD=24.0116, R=0.055151018779724836
Successful: CL/CD=31.9482, R=0.047476674895733595
Successful: CL/CD=21.3379, R=0.05537793459370732
Successful: CL/CD=17.8804, R=0.06277353223413229
Successful: CL/CD=17.6932, R=0.08780015632510185
Successful: CL/CD=18.7376, R=0.07359427073970437
